mark_name,model_name,mass_kg,price,frontal_area_m2,battery_capacity_kwh,energy_consumption_kwhp100km,motor_efficiency,charging_efficiency
STELLANTIS,208 5P ALLURE PACK ELECTRICO 136 (100 KW),1530.0,8793.0,2.6,561.1,1550.0,0.9,0.6451612903225806
STELLANTIS,CORSA-E EDITION-E  BEV 50KWH 136 CV (100KW),1530.0,8959.0,2.8,558.48,1560.0,0.9,0.6410256410256411
STELLANTIS,E-RIFTER GT STANDARD 100 KW,1765.0,31765.0,2.7,552.75,2010.0,0.9,0.4975124378109453
STELLANTIS,2008 ALLURE PACK ELECTRICO 136 (100 KW),1623.0,12275.0,2.6,542.19,1590.0,0.9,0.6289308176100629
STELLANTIS,308 5P GT ELECTRICO 156 (115 KW),1759.0,8477.0,2.7,620.61,1510.0,0.9,0.6622516556291391
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M SHINE,1739.0,10316.0,2.4,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,CORSA-E ELEGANCE-E  BEV 50KWH 136 CV (100KW),1530.0,8959.0,3.2,559.55,1550.0,0.9,0.6451612903225806
STELLANTIS,COMBO-E LIFE L ELEGANCE PLUS ELECTRICO 100KW / 136,1739.0,12729.0,2.2,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,N2008 GT ELECTRICO 156 (115 KW),1623.0,12275.0,2.7,616.59,1530.0,0.9,0.6535947712418301
STELLANTIS,2008 ACTIVE PACK ELECTRICO 136 (100 KW),1623.0,12275.0,2.4,530.88,1580.0,0.9,0.6329113924050633
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL,1636.0,9843.0,2.5,539.6,1520.0,0.9,0.6578947368421053
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW- 50KWH PLUS,1636.0,9843.0,2.8,528.96,1520.0,0.9,0.6578947368421053
STELLANTIS,2008 GT ELECTRICO 136 (100 KW),1623.0,12275.0,2.8,540.6,1590.0,0.9,0.6289308176100629
STELLANTIS,MOKKA ELECTRIC GS BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.9,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,208 5P ACTIVE PACK ELECTRICO 136 (100 KW),1530.0,8793.0,2.3,557.48,1540.0,0.9,0.6493506493506493
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL PACK (SOLO STOCK),1636.0,9843.0,2.4,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,MOKKA-E GS BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.8,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M SHINE (S,1739.0,10316.0,2.0,553.57,1970.0,0.9,0.5076142131979695
STELLANTIS,E-TRAVELLER BUSINESS ELECTRICO 100 KW BATERY 75 K,2131.0,33838.0,2.8,843.22,2660.0,0.9,0.37593984962406013
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA M LIVE PACK,1739.0,10316.0,2.7,554.4,1980.0,0.9,0.5050505050505051
STELLANTIS,MOKKA-E BUSINESS ELEGANCE BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.6,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,E-RIFTER ACTIVE PACK STANDARD 100 KW,1765.0,31765.0,2.6,553.57,1970.0,0.9,0.5076142131979695
STELLANTIS,NUEVO Ã‹-SPACETOURER TALLA M 75 KWH BUSINESS (SOLO,2131.0,43153.0,2.7,843.72,2670.0,0.9,0.37453183520599254
STELLANTIS,208 5P GT ELECTRICO 136 (100 KW),1530.0,8793.0,2.3,559.68,1590.0,0.9,0.6289308176100629
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M LIVE PAC,1739.0,10316.0,2.2,550.05,1930.0,0.9,0.5181347150259067
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA XL LIVE PACK,1813.0,10316.0,2.7,554.76,2010.0,0.9,0.4975124378109453
STELLANTIS,CORSA GS ELECTRIC 51KWH LONG RANGE 156 CV (115KW),1544.0,8959.0,2.8,575.65,1450.0,0.9,0.6896551724137931
STELLANTIS,N208 5P STYLE ELECTRICO 136 (100 KW),1530.0,8793.0,2.9,559.55,1550.0,0.9,0.6451612903225806
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL SHINE,1813.0,10316.0,2.4,553.22,1990.0,0.9,0.5025125628140703
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA M SHINE,1739.0,10316.0,2.9,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA M 75 KWH (SOLO STOCK),2131.0,11144.0,2.5,846.39,2670.0,0.9,0.37453183520599254
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL PACK,1636.0,9843.0,2.7,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW SHINE,1636.0,9843.0,2.4,540.09,1530.0,0.9,0.6535947712418301
STELLANTIS,208 5P ACTIVE ELECTRICO 136 (100 KW),1530.0,8793.0,3.0,557.48,1540.0,0.9,0.6493506493506493
STELLANTIS,E-RIFTER GT LONG 100 KW,1884.0,31765.0,3.2,558.6,2100.0,0.9,0.47619047619047616
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL FEEL,1813.0,10316.0,2.8,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,MOKKA-E ULTIMATE BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.7,529.74,1620.0,0.9,0.6172839506172839
STELLANTIS,E-EXPERT COMBI ELECTRICO 100KW BATERY 75 KWH STAN,2131.0,10173.0,2.6,843.22,2660.0,0.9,0.37593984962406013
STELLANTIS,MOKKA-E GS LINE BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.8,540.36,1580.0,0.9,0.6329113924050633
STELLANTIS,E-RIFTER ACTIVE PACK LONG 100 KW,1841.0,31765.0,2.5,555.5,2020.0,0.9,0.49504950495049505
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW C SERIES,1636.0,9843.0,3.0,541.62,1530.0,0.9,0.6535947712418301
STELLANTIS,N2008 FIRST EDITION ELECTRICO 156 (115 KW),1623.0,10020.0,2.9,619.08,1540.0,0.9,0.6493506493506493
STELLANTIS,E-TRAVELLER BUSINESS VIP ELECTRICO 100 KW BATERY,2167.0,33838.0,2.4,844.66,2690.0,0.9,0.37174721189591076
STELLANTIS,308 5P FIRST EDITION ELECTRICO 156 (115 KW),1759.0,8121.0,2.3,618.0,1500.0,0.9,0.6666666666666666
STELLANTIS,E-BERLINGO ELECTRICO 50 KWH TALLA M FEEL,1739.0,10316.0,2.4,551.6,1970.0,0.9,0.5076142131979695
STELLANTIS,Ã‹-SPACETOURER TALLA M 75 KWH BUSINESS,2131.0,43153.0,2.6,843.72,2670.0,0.9,0.37453183520599254
STELLANTIS,COMBO-E LIFE XL ELEGANCE PLUS ELECTRICO 100KW / 13,1813.0,12729.0,2.6,554.0,2000.0,0.9,0.5
STELLANTIS,E-RIFTER ALLURE STANDARD 100 KW,1765.0,31765.0,3.1,555.21,1990.0,0.9,0.5025125628140703
STELLANTIS,2008 ALLURE ELECTRICO 136 (100 KW),1623.0,12275.0,3.2,542.19,1590.0,0.9,0.6289308176100629
STELLANTIS,NUEVO C4X ELECTRICO 100 KW FEEL PACK,1659.0,9843.0,2.1,540.58,1510.0,0.9,0.6622516556291391
STELLANTIS,COMBO-E LIFE L EDITION ELECTRICO 100KW / 136 CV,1739.0,12729.0,2.4,551.85,1950.0,0.9,0.5128205128205128
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL FEEL P,1813.0,10316.0,3.1,556.0,2000.0,0.9,0.5
STELLANTIS,COMBO-E LIFE L EDITION PLUS ELECTRICO 100KW / 136,1739.0,12729.0,3.0,552.72,1960.0,0.9,0.5102040816326531
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW C SERIES (SOLO STOCK),1636.0,9843.0,2.7,541.62,1530.0,0.9,0.6535947712418301
BMW,IX1 EDRIVE20,1940.0,18271.0,2.9,729.0,1620.0,0.9,0.6172839506172839
STELLANTIS,NUEVO E-C4 ELECTRICO 100 KW - 50KWH YOU,1636.0,9843.0,2.8,541.12,1520.0,0.9,0.6578947368421053
STELLANTIS,COMBO-E LIFE XL EDITION ELECTRICO 100KW / 136 CV,1813.0,12729.0,2.2,552.42,1980.0,0.9,0.5050505050505051
STELLANTIS,COMBO LIFE ELECTRIC L EDITION PLUS 100KW / 136 CV,1739.0,12729.0,2.3,566.0,2000.0,0.9,0.5
STELLANTIS,COMBO LIFE ELECTRIC L ELEGANCE PLUS 100KW / 136 CV,1739.0,12729.0,2.7,563.58,2020.0,0.9,0.49504950495049505
STELLANTIS,COMBO LIFE ELECTRIC L EDITION 100KW / 136 CV,1739.0,12729.0,2.4,565.16,1990.0,0.9,0.5025125628140703
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL LIVE PA,1813.0,10316.0,2.3,553.22,1990.0,0.9,0.5025125628140703
STELLANTIS,ASTRA 5P ELECTRIC GS 54KWH 156 CV (115KW),1736.0,9574.0,2.0,618.0,1500.0,0.9,0.6666666666666666
STELLANTIS,NUEVO C4X ELECTRICO 100 KW FEEL,1659.0,9843.0,2.6,540.0,1500.0,0.9,0.6666666666666666
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M  LIVE PA,1739.0,10316.0,2.1,551.85,1950.0,0.9,0.5128205128205128
STELLANTIS,MOKKA ELECTRIC ULTIMATE BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.9,529.74,1620.0,0.9,0.6172839506172839
STELLANTIS,208 5P ALLURE ELECTRICO 136 (100 KW),1530.0,8793.0,2.5,561.1,1550.0,0.9,0.6451612903225806
STELLANTIS,COMBO LIFE ELECTRIC XL EDITION 100KW / 136 CV,1813.0,12729.0,2.9,553.22,1990.0,0.9,0.5025125628140703
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA M 75 KWH,2140.0,11144.0,2.9,844.2,2680.0,0.9,0.373134328358209
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA M FEEL,1739.0,10316.0,2.6,551.85,1950.0,0.9,0.5128205128205128
STELLANTIS,NUEVO Ã‹-SPACETOURER TALLA M 75 KWH BUSINESS,2140.0,43153.0,3.2,843.22,2660.0,0.9,0.37593984962406013
STELLANTIS,N208 5P ACTIVE ELECTRICO 156 (115 KW),1530.0,8793.0,2.0,574.0,1400.0,0.9,0.7142857142857143
STELLANTIS,MOKKA-E ULTIMATE  BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.4,531.36,1620.0,0.9,0.6172839506172839
STELLANTIS,ASTRA 5P T ELECTRIC,1736.0,9574.0,2.6,618.0,1500.0,0.9,0.6666666666666666
STELLANTIS,CORSA EDITION ELECTRIC 50KWH 136 CV (100KW),1544.0,8959.0,2.3,559.32,1580.0,0.9,0.6329113924050633
STELLANTIS,NUEVO E-C4 ELECTRICO 100KW FEEL (SOLO STOCK),1636.0,9843.0,3.1,539.6,1520.0,0.9,0.6578947368421053
STELLANTIS,E-EXPERT COMBI ELECTRICO 100KW BATERY 50 KWH STAN,1982.0,10173.0,2.9,554.4,2520.0,0.9,0.3968253968253968
STELLANTIS,N2008 ALLURE ELECTRICO 156 (115 KW),1623.0,12275.0,2.2,619.08,1540.0,0.9,0.6493506493506493
STELLANTIS,Ã‹-JUMPY COMBI TALLA M 75 KWH,2131.0,11144.0,2.5,844.2,2680.0,0.9,0.373134328358209
STELLANTIS,Ã‹-SPACETOURER TALLA M 50 KWH BUSINESS,1982.0,43153.0,2.8,554.07,2530.0,0.9,0.3952569169960474
STELLANTIS,VIVARO-E COMBI L BEV 330 100KW / 136 CV,2161.0,14346.0,3.2,844.66,2690.0,0.9,0.37174721189591076
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA XL 75 KWH,2161.0,11144.0,2.3,844.2,2680.0,0.9,0.373134328358209
STELLANTIS,NUEVO E-C4 ELECTRICO 115KW-54KWH SHINE,1636.0,9843.0,2.7,616.5,1500.0,0.9,0.6666666666666666
STELLANTIS,VIVARO-E COMBI M BEV 330 100KW / 136 CV 2023,2131.0,14346.0,2.8,844.66,2690.0,0.9,0.37174721189591076
STELLANTIS,E-EXPERT COMBI ELECTRICO 100KW BATERY 75 KWH LONG,2167.0,10173.0,2.5,847.35,2690.0,0.9,0.37174721189591076
STELLANTIS,NUEVO Ã‹-JUMPY COMBI TALLA M 50 KWH,1982.0,11144.0,2.8,553.72,2540.0,0.9,0.3937007874015748
STELLANTIS,MOKKA-E EDITION  BEV 50KWH 136 CV (100KW),1598.0,22853.0,2.0,532.65,1590.0,0.9,0.6289308176100629
STELLANTIS,E-RIFTER ALLURE LONG 100 KW,1841.0,31765.0,2.6,555.5,2020.0,0.9,0.49504950495049505
STELLANTIS,NUEVO E-BERLINGO ELECTRICO 50 KWH TALLA XL SHINE (,1876.0,10316.0,3.2,555.94,2090.0,0.9,0.4784688995215311
STELLANTIS,VIVARO-E COMBI L BEV 330 100KW / 136 CV 2023,2161.0,14346.0,2.5,842.7,2650.0,0.9,0.37735849056603776
STELLANTIS,NUEVO E-C4 ELECTRICO 115 KW - 54KWH MAX,1636.0,9843.0,2.5,618.35,1490.0,0.9,0.6711409395973155
RENAULT-NISSAN-MITSUBISHI,LEAF 40KWH,1580.0,15961.0,2.5,461.7,1710.0,0.9,0.5847953216374269
STELLANTIS,3,1625.0,16606.0,2.9,616.59,1530.0,0.9,0.6535947712418301
STELLANTIS,3 CROSSBACK,1598.0,25223.0,2.8,531.3,1610.0,0.9,0.6211180124223602
BMW,IX2 XDRIVE30,2095.0,32215.0,2.1,730.8,1740.0,0.9,0.5747126436781609
STELLANTIS,ABARTH 500E,1410.0,22508.0,3.1,457.2,1800.0,0.9,0.5555555555555556
STELLANTIS,JUMPY I SP,2161.0,11144.0,2.2,845.1,2700.0,0.9,0.37037037037037035
RENAULT-NISSAN-MITSUBISHI,NISSAN E-NV200,1694.0,16196.0,2.8,518.0,2590.0,0.9,0.3861003861003861
